Freq [Hz];mag(S(2,1)) [];;;;;
1,71E+08;0.78453717452022;;;;;
1,72E+08;0.784004538681871;;;;;
1,73E+08;0.783470014207045;;;;;
1,74E+08;0.782933617730986;;;;;
1,75E+08;0.782395365876553;;;;;
1,76E+08;0.78185527525315;;;;;
1,77E+08;0.781313362455668;;;;;
1,78E+08;0.780769644063437;;;;;
1,79E+08;0.780224136639183;;;;;
1,80E+08;0.779676856728004;;;;;
1,81E+08;0.779127820856349;;;;;
1,82E+08;0.778577045531012;;;;;
1,83E+08;0.778024547238136;;;;;
1,84E+08;0.777470342442222;;;;;
1,85E+08;0.776914447585159;;;;;
1,86E+08;0.776356879085254;;;;;
1,87E+08;0.77579765333628;;;;;
1,88E+08;0.775236786706531;;;;;
1,89E+08;0.77467429553789;;;;;
1,90E+08;0.774110196144906;;;;;
1,91E+08;0.773544504813881;;;;;
1,92E+08;0.772977237801973;;;;;
1,93E+08;0.772408411336303;;;;;
1,94E+08;0.771838041613076;;;;;
1,95E+08;0.771266144796717;;;;;
1,96E+08;0.77069273701901;;;;;
1,97E+08;0.770117834378252;;;;;
1,98E+08;0.76954145293842;;;;;
1,99E+08;0.768963608728345;;;;;
2,00E+08;0.768384317740901;;;;;
2,01E+08;0.767803595932201;;;;;
2,02E+08;0.767221459220804;;;;;
2,03E+08;0.76663792348694;;;;;
2,04E+08;0.766053004571734;;;;;
2,05E+08;0.765466718276454;;;;;
2,06E+08;0.76487908036176;;;;;
2,07E+08;0.764290106546968;;;;;
2,08E+08;0.763699812509325;;;;;
2,09E+08;0.763108213883294;;;;;
2,10E+08;0.762515326259853;;;;;
2,11E+08;0.761921165185798;;;;;
2,12E+08;0.761325746163064;;;;;
2,13E+08;0.760729084648053;;;;;
2,14E+08;0.760131196050976;;;;;
2,15E+08;0.7595320957352;;;;;
2,16E+08;0.758931799016614;;;;;
2,17E+08;0.758330321162997;;;;;
2,18E+08;0.757727677393405;;;;;
